true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.01,0.005,70619385,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,134196339,False,144,0.031096723937700375,0.0,0.1607821037452324,False
0.01,0.005,483890974,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,80179006,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,1044624812,False,157,0.03388718677486536,0.0,0.16357256658239738,False
0.01,0.005,1039321596,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,428626791,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,1122932535,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,711884705,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,1930012150,False,8,0.0018129208038999483,0.0,0.13149830061143197,False
0.01,0.005,1994251152,False,312,0.06756739620240253,0.0,0.19725277600993457,False
0.01,0.005,159249209,False,33,0.007084554774240435,0.0,0.13676993458177247,False
0.01,0.005,1906335506,False,89,0.01923450135559952,0.0,0.14891988116313154,False
0.01,0.005,940542258,False,63,0.013569964153126612,0.0,0.14325534396065864,False
0.01,0.005,1337714978,False,469,0.10143350770454121,0.0,0.23111888751207324,False
0.01,0.005,529296951,False,120,0.025913492419730795,0.0,0.15559887222726282,False
0.01,0.005,828232792,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.01,584608145,False,57,0.012271434949284387,0.0,0.0771141248530504,False
0.01,0.01,992295406,False,8,0.0017354849253915941,0.0,0.06657817482915761,False
0.01,0.01,456356670,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,1012379715,False,163,0.03533957340558306,0.0,0.10018226330934907,False
0.01,0.01,1433071878,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,1967102342,False,199,0.0431686699975982,0.0,0.1080113599013642,False
0.01,0.01,1479371186,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,1061345840,False,26,0.005678979512767999,0.0,0.07052166941653401,False
0.01,0.01,1150192434,False,96,0.020770038241845777,0.0,0.0856127281456118,False
0.01,0.01,1890630003,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,222467782,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,251499141,False,81,0.017535605634162843,0.0,0.08237829553792886,False
0.01,0.01,274786899,False,0,2.223283657684637e-06,0.0,0.0648449131874237,False
0.01,0.01,1135484580,False,38,0.008281353648234624,0.0,0.07312404355200064,False
0.01,0.01,736845039,False,129,0.027984586203534823,0.0,0.09282727610730084,False
0.01,0.01,427473234,False,117,0.02543036501899895,0.0,0.09027305492276497,False
0.01,0.01,1361370978,False,10,0.002122666643630085,0.0,0.0669653565473961,False
0.01,0.01,1530913596,False,81,0.01744100977203103,0.0,0.08228369967579705,False
0.01,0.01,1425601819,False,291,0.06307358474777087,0.0,0.12791627465153688,False
0.01,0.01,692789297,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,916832202,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,1877415641,False,112,0.024276902684644906,0.0,0.08911959258841093,False
0.01,0.01,55327559,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,50430299,False,57,0.012398548222665486,0.0,0.0772412381264315,False
0.01,0.01,618201290,False,143,0.030899110274723654,0.0,0.09574180017848967,False
0.01,0.01,455775300,False,60,0.013079345682052601,0.0,0.07792203558581862,False
0.01,0.01,1551755407,False,121,0.026095250340976817,0.0,0.09093794024474283,False
0.01,0.01,697373602,False,158,0.03424822841958239,0.0,0.0990909183233484,False
0.01,0.01,1720544151,False,0,0.0,0.0,0.06484268990376602,False
0.01,0.01,794229247,False,30,0.00642476477528231,0.0,0.07126745467904833,False
0.01,0.02,192645722,False,28,0.006020414607539515,0.0,0.03844175955942252,True
0.01,0.02,2081107903,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.02,74015689,False,125,0.02696474930222784,0.0,0.059386094254110844,False
0.01,0.02,517329401,False,181,0.03911086277293106,0.006689517821048055,0.07153220772481407,False
0.01,0.02,1146137769,False,14,0.0030636926512122744,0.0,0.03548503760309528,True
0.01,0.02,189492910,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.02,1405751823,False,138,0.02994257598296585,0.0,0.062363920934848854,False
0.01,0.02,2083124727,False,5,0.0011374397739849216,0.0,0.03355878472586793,True
0.01,0.02,1400180207,False,134,0.029111509489627083,0.0,0.06153285444151009,False
0.01,0.02,1938377736,False,82,0.017797936001404252,0.0,0.05021928095328726,False
0.01,0.02,1420095750,False,31,0.006699067390467307,0.0,0.039120412342350315,True
0.01,0.02,997312825,False,356,0.0770733992422313,0.0446520542903483,0.10949474419411431,False
0.01,0.02,2056822539,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.02,1886636984,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.02,986625709,False,40,0.008577824478861015,0.0,0.040999169430744026,True
0.01,0.02,1146716674,False,156,0.03367490217340353,0.0012535572215205196,0.06609624712528653,False
0.01,0.02,1696844888,False,50,0.010719654958062133,0.0,0.04314099990994514,True
0.01,0.02,966110402,False,17,0.0037249532669480162,0.0,0.03614629821883102,True
0.01,0.02,2077289761,False,114,0.024650994437821355,0.0,0.057072339389704366,False
0.01,0.02,1591797795,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.02,1605264551,False,112,0.024330010908147393,0.0,0.0567513558600304,False
0.01,0.02,1546245666,False,60,0.012993576075337455,0.0,0.04541492102722046,True
0.01,0.02,1195570144,False,87,0.018835862693102827,0.0,0.051257207644985835,False
0.01,0.02,464158073,False,68,0.014681545935550105,0.0,0.047102890887433115,True
0.01,0.02,314075491,False,25,0.005312057856782388,0.0,0.0377334028086654,True
0.01,0.02,2010917245,False,26,0.005559279232954082,0.0,0.03798062418483709,True
0.01,0.02,1268457076,False,83,0.017988009475245,0.0,0.050409354427128,False
0.01,0.02,1828486968,False,64,0.013912068666354306,0.0,0.04633341361823731,True
0.01,0.02,386617261,False,30,0.006544347394231549,0.0,0.03896569234611456,True
0.01,0.02,1013834203,False,0,0.0,0.0,0.03242134495188301,True
0.01,0.05,543158848,False,49,0.01059515523063998,0.0,0.023563693211393184,True
0.01,0.05,205419883,False,81,0.017594250312585075,0.004625712331831872,0.030562788293338278,True
0.01,0.05,2095693812,False,40,0.008763442874790948,0.0,0.02173198085554415,True
0.01,0.05,442237725,False,17,0.0037866319459055977,0.0,0.016755169926658802,True
0.01,0.05,1438975732,False,41,0.008962002082489238,0.0,0.02193054006324244,True
0.01,0.05,1971504240,False,40,0.00874468502579942,0.0,0.021713223006552623,True
0.01,0.05,1931623705,False,66,0.014388228755466099,0.0014196907747128958,0.027356766736219302,True
0.01,0.05,1224370310,False,120,0.02600701039087857,0.013038472410125367,0.03897554837163177,True
0.01,0.05,130320026,False,98,0.021182034254726916,0.008213496273973712,0.03415057223548012,True
0.01,0.05,435701529,False,0,0.0,0.0,0.012968537980753203,True
0.01,0.05,540643020,False,16,0.0034432500469116015,0.0,0.016411788027664805,True
